pooled chromatin,,,,pooled nuclei,,
ID,symbol,log2 fold enrichment,,ID,symbol,log2 fold enrichment
ENSG00000105193,RPS16,2.17,,ENSG00000125970,RALY,9.75
ENSG00000140988,RPS2,2.32,,ENSG00000161847,RAVER1,7.25
ENSG00000137154,RPS6,2.58,,ENSG00000122257,RBBP6,2.58
ENSG00000142937,RPS8,2.00,,ENSG00000100320,RBFOX2,4.64
ENSG00000052749,RRP12,4.17,,ENSG00000182872,RBM10,7.47
ENSG00000160208,RRP1B,3.46,,ENSG00000244462,RBM12,2.58
ENSG00000124541,RRP36,2.32,,ENSG00000183808,RBM12B,4.81
ENSG00000132275,RRP8,2.58,,ENSG00000239306,RBM14,6.00
ENSG00000179041,RRS1,2.32,,ENSG00000248643,RBM14-RBM4,7.28
ENSG00000171490,RSL1D1,7.11,,ENSG00000162775,RBM15,8.49
ENSG00000160633,SAFB,6.17,,ENSG00000259956,RBM15B,5.70
ENSG00000130254,SAFB2,4.00,,ENSG00000122965,RBM19,6.02
ENSG00000205323,SARNP,2.81,,ENSG00000086589,RBM22,6.70
ENSG00000139218,SCAF11,2.32,,ENSG00000091009,RBM27,4.39
ENSG00000168066,SF1,5.93,,ENSG00000106344,RBM28,6.30
ENSG00000183431,SF3A3,3.32,,ENSG00000268489,RBM3,7.38
ENSG00000115524,SF3B1,4.17,,ENSG00000188739,RBM34,4.46
ENSG00000263977,SF3B4,6.07,,ENSG00000132819,RBM38,4.58
ENSG00000116560,SFPQ,10.41,,ENSG00000131051,RBM39,7.23
ENSG00000137776,SLTM,4.00,,ENSG00000126254,RBM42,4.58
ENSG00000167088,SNRPD1,3.00,,ENSG00000155636,RBM45,3.46
ENSG00000100028,SNRPD3,4.95,,ENSG00000163694,RBM47,3.00
ENSG00000139343,SNRPF,2.32,,ENSG00000173914,RBM4B,4.64
ENSG00000143977,SNRPG,3.81,,ENSG00000003756,RBM5,5.67
ENSG00000159140,SON,3.11,,ENSG00000004534,RBM6,7.43
ENSG00000065526,SPEN,9.93,,ENSG00000076053,RBM7,3.58
ENSG00000068784,SRBD1,2.00,,ENSG00000147274,RBMX,3.95
ENSG00000133226,SRRM1,5.67,,ENSG00000134597,RBMX2,2.58
ENSG00000167978,SRRM2,2.25,,ENSG00000213516,RBMXL1,4.25
ENSG00000087087,SRRT,2.32,,ENSG00000261493,REXO4,2.00
ENSG00000136450,SRSF1,8.98,,ENSG00000080345,RIF1,1.58
ENSG00000215699,SRSF10,7.69,,ENSG00000205937,RNPS1,2.28
ENSG00000161547,SRSF2,8.99,,ENSG00000167526,RPL13,3.00
ENSG00000112081,SRSF3,6.39,,ENSG00000116251,RPL22,4.00
ENSG00000116350,SRSF4,4.58,,ENSG00000162244,RPL29,3.00
ENSG00000100650,SRSF5,6.09,,ENSG00000071082,RPL31,1.58
ENSG00000124193,SRSF6,6.64,,ENSG00000145592,RPL37,1.58
ENSG00000115875,SRSF7,7.02,,ENSG00000174444,RPL4,2.77
